P_1,P_2,P_3,P_4,P_5,P_6,P_7,P_8,P_9,P_10,P_11,P_12,P_13,P_14,P_15,P_16,P_17,P_18,P_19,P_20,P_21,P_22,P_23,P_24,P_25,P_26,P_27,P_28,P_29,P_30,P_31,P_32,response_IC50,category_IC50
43.104188850999996,41.80874495161857,34.86598347690025,19.048472020352747,1.8357387398731775,17.498574957779958,19.127241774617154,7.142179694735502,13.549649672333711,24.447448297987354,23.989551930132873,19.175174233077552,16.06895730981555,7.018449532845973,9.58046319696358,24.208148720049206,27.849968272510775,19.51602354609506,6.811385821098778,3.942493868206082,6.5976749121078315,9.110003370204145,11.395730832614642,10.307540181133337,7.365034605163664,8.011526211845583,12.028923121827344,13.89535682064941,11.380444981416526,8.322348217814861,9.707565522823717,9.806879325171682,0.69,Class I
71.0780023268,66.81139725087681,36.81978528075091,13.739553791735633,30.315327031016945,12.943034846202815,10.664499053940796,26.60475288962083,35.155906041922606,21.341880207387952,25.811681394665687,13.809359051298339,25.657171858446805,6.482294116527919,31.257406280138348,32.02881432593676,37.2958264262689,28.172928194767252,25.517583361989736,9.964607492210561,14.28343819452427,26.863594006851624,38.78479076814616,44.61388749310514,29.58262397874331,24.769207915191704,39.17828897240973,44.32164998425534,15.882326545839257,45.80326440465444,52.30247271045612,26.241554413405602,708.0,Class III
62.53193886929999,67.30508762495157,35.99677650788222,15.572611488731443,21.703723484833567,11.052402312784384,24.716281244798978,32.29130548030946,26.713283709326774,26.04349886596518,34.92915287123524,19.529962624799236,25.97821668713772,7.031743240069589,23.47380135312873,30.79254383907058,14.180531169495408,30.237967228460395,29.933971047231207,10.335248756949797,31.58646306569354,13.702613729421945,36.25925587811213,33.36892961906789,26.995817344806152,41.781490684814,52.57418503031422,41.81602560823959,4.68705414477963,43.03373772693129,45.57987560989743,13.558851495592226,19.5057920728,Class II
207.0370700366,64.33839748476964,40.33320042625748,36.029146134692525,55.802724907898636,60.953192337784756,38.199150768065216,20.186238880656447,22.301938623511994,53.84820941512717,40.09582734973665,1.9341870191976214,37.14921860868964,16.23375869876812,26.295303933329485,22.818149687698067,29.830689716624764,48.04023202541279,27.391103418297664,48.680657444141374,9.702717934454798,16.470848111295656,18.39212383717303,26.221377115042728,24.515384602525298,40.51701057707291,6.795734192805819,62.12268193371555,61.947346520332644,34.81134995436609,16.182893704770386,21.941664548455236,15.0,Class II
54.9044579752,55.934245684438146,38.27531217986287,10.443498781393789,19.70872492662866,5.375000753777469,15.313150227441788,31.59430029144973,38.0578011663566,26.567956915872266,18.759350392932408,27.037505313109673,39.11010636070919,4.4927907051076215,35.30685608571985,22.36435815395715,26.986052258901314,27.106342898815228,15.668881516577844,8.031279334845463,23.297810804823726,22.972351024457133,34.76209003308487,43.69703662593537,27.651579406853376,31.660564226403345,54.24836379132375,58.1679463940672,18.334942696066292,52.6838275801647,65.94825491784621,34.93832915655288,116.9520909199,Class III
46.63156037259999,59.696196507888814,39.02738739131519,8.74647728919604,31.022193243357197,18.996140809717527,20.274825041980353,31.312016062244258,10.430180480522752,17.504125100510816,23.68090550894119,16.66023643748153,3.276109333547801,21.86748936571038,29.180065577264344,37.54080759179805,43.95868959648105,35.84910203412171,21.66309889217446,11.58328693595912,15.65966485906404,8.302939962576945,29.929061257575658,37.28104471926732,34.43276363959066,44.8649559063159,23.47576484210162,22.00861907673945,9.543028323353836,18.066736292600797,11.47877614629719,18.944584468554208,18.5,Class II
14.282430536200005,22.650152748651102,32.302739452174286,34.432778203013484,31.81613435263049,32.54205542762275,35.5706782965841,31.583298761569907,17.324335831526465,6.998108004793116,22.959368453101604,31.107136109070552,29.36421568356659,25.70987395717322,29.243141445900996,35.067691714137226,35.62509725858157,28.316083546889782,13.867334017583758,4.076913508659062,18.331853860777663,22.392884872673548,13.88277439894801,14.181874314498558,35.39388644026021,49.810839488029835,48.531657731933024,31.36434740719352,7.902200688027619,19.427319733124474,29.484789973425645,25.42440231936745,660.0,Class III
66.8175308356,63.93975684708165,36.94248051933721,13.626678804509245,26.51903350889256,12.028739703718118,14.099921418943557,25.622388711468346,36.850707228366716,24.85089600843699,25.004693569597638,17.498728437357332,29.29735899380479,3.169616928768904,29.27952261254893,28.786056506419406,33.30634083694254,23.924800068786954,21.304901564175132,6.746018217217861,17.087772355252262,24.040639564152748,35.48134167799747,45.18374846912161,32.1810982017901,26.710351972226746,42.875973374776535,48.25124320878099,15.231653146721303,45.48191468841149,55.556728826992135,26.53569046042319,283.0,Class III
67.0875127487,64.11714537694631,36.92013000507439,13.594291441848553,26.755453146844708,12.044087066116285,13.868641808287428,25.664774671900602,36.73096656206376,24.621496963053318,25.035095162225574,17.25713084334427,29.061679960166995,3.315908833242074,29.390484420718472,28.98372924366166,33.55717359704882,24.193870969743966,21.57129801705037,6.916623589129559,16.892000818895198,24.207047325342135,35.68465843401472,45.13591735440001,32.005867209245366,26.571283825174348,42.63853760641544,48.000553332698715,15.238399059465461,45.490505604685914,55.346455516001434,26.496825982202402,9.4,Class I
79.72403240610001,77.82651075043572,52.366236653577396,22.8996186971628,24.82524446875522,6.884210216635101,16.3959717706761,23.373783031378505,32.503028022328444,21.148677978567523,16.038542764406067,26.260883689840277,47.86955701687385,17.523838723091323,16.48163470440391,34.934100468941516,40.9844054107443,20.29360881030397,12.015046197289042,4.794921899251005,19.39701938986323,16.85406538481311,21.484399214761442,32.45167275576383,21.14729636897687,33.322969206955186,57.63770349899961,64.8301834377057,28.236175270319244,33.96310927037918,50.97672210704336,24.54024264691285,12.590239416900001,Class II
166.524996206,117.41745051871523,24.26393003503122,18.605678300530148,29.95926350163247,34.73687638559345,22.328188282393782,27.51770416468808,6.622828444474981,19.325590255791212,5.785375388315286,34.42509477740674,22.839068790362877,92.33399075378317,94.16920393059299,39.374252405373575,21.024290315955955,35.482133720332776,22.030296679989203,22.961553317358632,39.01367127308616,53.60902117035812,22.934131153906108,35.63735142364905,51.94850184253312,44.13066035343579,5.4903705341284725,51.26111725997717,32.78332846144686,21.19206360369235,23.07458606880474,45.03925742620866,4.7117529067,Class I
71.0833396735,69.29516355081155,44.14263885664006,22.915965034077452,30.396404922797124,13.720268465273483,21.57060405441871,30.49505068474135,38.0433179871275,29.787224120027027,24.14671651191778,19.232336148796705,39.50628558618573,9.13545946063604,23.129502591995422,33.35307976596255,33.85598762260097,12.063574634696499,15.938453379748715,5.467093908371603,12.194197495574103,14.092026919398709,28.646563836425543,40.3867728968908,26.54939707641283,28.924614759473666,52.433575498077836,60.24947771450747,24.374539153487323,40.14464205542379,56.63898690660258,20.984820591339275,2.2477617912,Class I
61.217049620800005,60.162896916026284,37.12981580470043,16.02962101627888,23.075185591731945,11.494937618300417,17.3268746910694,24.244533762783483,37.806322464317844,27.9853157108583,25.104292027822794,20.329673626687516,31.96534567880566,3.938713942283789,28.955170541362502,26.896120508963204,29.827417556752863,19.369957446095626,16.151534069024894,6.177205344437664,21.183701811736015,20.97235107275869,31.32904029067395,45.92480037423351,35.23221289046703,28.758331096316933,46.48009324205323,52.657067630956114,16.766372208545576,44.57418158690765,57.807277659711765,27.540930665328794,0.6764542074,Class I
44.382928603399996,67.17357489034197,49.77038287746002,29.873885628436252,24.154945884655053,16.124865317565053,21.3474637303014,31.712629851311547,33.14648239414938,27.024222827893137,33.98652581291436,18.338206271138397,39.883317613535,22.497875200151647,15.276486416605625,33.61302060133958,20.093446046690552,46.104328935646045,8.52572310762646,25.37632880992172,31.61302376325881,30.21454219950416,50.89721364396636,35.724755440864264,34.391044529342686,35.846191925330366,48.19251904634456,53.50419462640154,7.8933198543898895,36.83775065109739,55.209416753503376,39.567886115164406,60.0,Class II
83.2845384675,67.79792846647894,22.659519000098353,28.284134499310078,64.2878374220724,45.07070206104933,7.722289906889245,14.786043762047523,22.74552401635334,16.574512391781692,14.444819023619075,47.81384120066061,64.829199766203,51.08408673482041,13.93069261553884,6.972762040560564,44.50540414781199,25.42057486686793,7.171452125294984,27.379973304617007,25.087962296638697,7.092994663025221,31.54452508670504,48.21844317265679,23.71481517855276,61.70165333224158,19.801804412892253,12.44036584825391,43.88363323360966,33.57885771623076,41.01126817621487,49.63576778890418,0.42,Class I
100.4577472598,84.63670407923289,37.568232363179305,23.98923179269792,16.842007655031686,18.424895508872925,17.024716895942166,15.388974249193938,18.018385017262997,28.57730865318341,44.65422191348065,14.422321034254221,30.286471110423076,24.490187692218708,10.799050695608782,14.083082577598747,9.28154356608966,30.495375880910476,45.84856200726791,38.939914293636484,19.4110941310164,14.999474640855093,10.987689435850648,9.471198554622388,20.60413907232385,10.323009353742416,32.631811555729904,57.95050781143302,56.5646326533576,31.686284467947424,14.66600801076685,25.87666282754019,26.0,Class II
56.4698690186,61.35336924124533,45.51783835596163,23.07831494505113,22.946628883660875,13.158131151296988,4.057894476357552,16.838455015682786,32.01124199833832,40.7469929094006,19.203548372301224,17.225380857408414,21.65994458996859,9.155075418503195,12.97039333369539,18.77204247819604,15.440410999885644,20.867636190813283,16.568311214089462,8.325892652484235,8.170280014962074,30.662608577664525,37.03569208480905,47.57530681211246,31.352829461228737,43.369307174839804,54.789785571235484,38.85065297876655,10.307669365349543,36.407264255310345,53.054452905956886,44.45175357907877,24.842981067399997,Class II
21.546140494799992,49.3231866733605,36.51027388483818,10.952170487217854,8.165907722816993,18.10195801665343,22.46522512714157,31.214684152977267,21.876576179129916,15.124523001710749,36.060995609525875,37.15342313136508,13.740565282810605,9.790259173307167,15.14626980056639,20.977427475435036,30.763792665983893,26.75774587827987,8.434796737456947,9.408784936601853,20.669876189892886,16.87367731052956,32.31898087547621,21.92640338473896,39.51258629463688,45.56885631487581,39.74075949537261,40.07657214504667,20.551882440027793,20.831246155871312,33.656600323532416,15.919594062292324,0.8926917557999999,Class I
65.73094319959999,69.63054337299876,33.04374349117252,17.83353926481895,17.356766394115507,12.979658360183413,20.228014093913625,37.40179235667591,26.705055434670687,23.615899111384433,29.579491210173096,26.730536678857288,21.870452830799373,4.010042235015946,18.035428928137822,24.113303083616117,23.293873338171835,24.794395538357,24.570451812766287,2.0500508372399833,25.95517867054742,15.014836498915543,36.24898782982537,44.98715921295111,31.74608422400535,29.378066472767117,51.369211545482656,50.779859747197214,14.695930222362792,44.43581430046429,58.34492613447795,23.86013130333266,394.2481757274,Class III
93.3801675805,96.74903931284176,43.585877131089994,17.182655518895952,30.123631553383778,58.352506755287315,34.81011820960184,45.751868806921465,39.62094335666606,12.093591120309377,19.69864552572774,35.93454024020888,31.2087200427334,51.74042324764628,67.7800722586486,40.55266654324193,19.028695262948663,24.72613645733224,21.953402935830358,9.888417858546603,13.679019709577448,11.289169571092044,4.72475447149464,7.37478559869524,24.031890025758972,41.509054640286664,34.197451042171934,9.722348355101818,15.559929146701455,16.086166127556865,5.300662799475956,28.431095271577057,2.88,Class I
67.9746370426,54.68865950637984,19.694013017528007,10.08185474269647,15.243622702981673,12.39634802182792,1.8915754701158847,23.64635785399568,37.40487372453979,27.459378261627453,3.3662444191919,19.085509324341515,27.08126001328949,10.784322987505787,20.518103658222067,16.074530238414695,20.27595893349396,22.499740717390722,17.45150927776264,14.468417043939006,14.986461991100919,8.913868990004525,23.074561308453262,17.34324603099849,14.129014120338068,12.495612712837788,8.276444894060873,13.179579860479988,25.632188340367115,30.62836747412137,19.5127816211275,16.771752136476238,86.25,Class II
136.2987033032,54.67190188326968,35.27353018799469,39.443572852592276,37.18325477962277,72.06093658411348,36.77650752184363,34.35401533235508,33.21154530927582,50.636022590561076,27.055709590626552,12.868253945497335,28.30283931618469,17.369699418801613,15.701829523799047,26.233266037928313,16.461493609991653,40.281568532300525,28.006838051776715,31.565647092691318,6.359100998604241,20.377549524929115,21.802938159096126,15.777400470681066,33.775864281485205,32.36811437331963,28.958196492081782,14.711333103860936,27.19875891882472,23.080517668578004,16.921546838613562,13.54824889920558,140.0,Class III
126.0223282626,93.86404920388514,36.51706764682738,14.135110526062645,28.339575772376826,44.56200118998001,16.954538717305535,40.91263238515584,51.732714981279294,12.174467946114628,42.37616580668202,49.37776421030405,34.46312209933822,39.31047176243504,23.768379716769097,16.099832227909232,28.771495843807593,24.402505180894654,27.35063095495298,30.2229158194384,29.65643154475187,35.98642621703935,34.50399133917929,16.63005571100412,21.683033731444578,35.91508418057151,33.18837804733852,25.39274808091758,23.10926243336701,22.558691063438875,15.633618536924786,6.980117102184954,30.4617081098,Class II
114.28680333650001,104.02014866621995,60.50522883590456,14.883094653341015,33.69939740283346,9.659745218445158,8.786158243161607,12.770122602458908,23.435390389612383,39.393283338199225,41.52990661257823,32.008938224658536,49.3267119340884,20.69440993897136,20.3883504142297,30.620636502432596,27.60538807424353,4.209746604346963,10.515322311116469,10.646692815854303,29.72885896730452,19.727806079819366,12.719931556366271,29.59771242367908,12.213360781495643,29.31340723612304,55.297445707492656,58.68475070822894,21.692848547203436,44.96683112364848,58.488252906161165,27.446869112677483,225.025034035,Class III
65.78447693780001,48.31655153128843,47.400459503923194,33.95550713115015,36.04816397613898,22.05471703758931,18.13826584347309,21.734086874349572,28.84714571507755,41.23819026053524,15.574583687550417,11.584800185987705,20.02495148195911,17.166147714415644,5.1013333661507385,12.080110370804336,6.932068676771326,13.686659522116782,16.792320086487038,6.73051679582524,19.313095591782,26.552925695974693,52.47892531887199,43.35950795254516,27.123915220178098,34.843417751408424,38.47406633735476,55.540437435416685,23.080252905411488,25.444019289700584,38.11064689532149,68.51395661508774,218.57589064209998,Class III
21.594626704299998,22.200062097699853,19.346563661143563,9.63393288852649,11.563580266691066,22.90073478507274,24.83633035913321,18.070152731954863,14.74297679621803,18.0595184953434,18.737485447189552,19.667110807448772,20.650192733082072,15.466911199678906,5.8430392304554895,12.170801962377482,20.782132328472294,23.379083375971597,19.43369923312841,10.688785528728834,4.22321076780438,5.09720689918846,1.4952987612839368,8.224110517762655,12.898509977222355,10.975170285401155,9.863983673668066,12.002268534725413,8.458268309812254,7.617861547282543,13.797382964198155,11.992851885301677,3.0,Class I
118.6225419317,71.01277300041967,18.89742138740988,24.64359215618597,51.28566442205606,56.864599880555836,49.63904339837768,20.37477193248585,46.141176233583835,40.83068846903163,19.659284343734484,22.5234752684935,23.32011882935725,7.777601722333131,14.64188791996635,22.052219168733416,8.942677202054533,37.24091550726321,31.85530557376866,29.52029589639792,7.965725030640286,25.428227458301922,17.232714428008595,12.487400728089655,35.16197640614022,30.66430741419505,30.269473746767954,19.05733765217433,26.532080967204372,17.793061609396744,14.886980966199099,17.366165635747073,160.0,Class III
