algorithm,hyperparameters,average,std,max_performance
LinearSVC,default,0.6098039215686274,0.09067317222666926,0.7647058823529411
RandomForestClassifier,gini-100,0.677124183006536,0.13230895742978319,0.8823529411764706
RandomForestClassifier,gini-150,0.7049019607843137,0.12587470028795775,0.8823529411764706
RandomForestClassifier,gini-200,0.6826797385620915,0.11282274488327756,0.8823529411764706
RandomForestClassifier,gini-250,0.6882352941176471,0.14225411743468816,0.8823529411764706
RandomForestClassifier,gini-500,0.6823529411764706,0.13514405494886447,0.8333333333333334
RandomForestClassifier,gini-1000,0.6823529411764706,0.13514405494886447,0.8333333333333334
RandomForestClassifier,entropy-100,0.6545751633986927,0.11452884686615983,0.8235294117647058
RandomForestClassifier,entropy-150,0.6712418300653595,0.11372549019607843,0.8333333333333334
RandomForestClassifier,entropy-200,0.6601307189542484,0.1108801906444353,0.8235294117647058
RandomForestClassifier,entropy-250,0.6601307189542484,0.1108801906444353,0.8235294117647058
RandomForestClassifier,entropy-500,0.677124183006536,0.11748172841958222,0.8823529411764706
RandomForestClassifier,entropy-1000,0.6660130718954248,0.10981364725057746,0.8823529411764706
SVC,default,0.665686274509804,0.07236994327043361,0.8235294117647058
SGDClassifier,default,0.5428104575163399,0.12885476287937014,0.7058823529411765
KNeighborsClassifier,2-auto-uniform,0.6323529411764706,0.0915528577110047,0.8235294117647058
KNeighborsClassifier,2-auto-distance,0.6382352941176471,0.1464114290237046,0.8823529411764706
KNeighborsClassifier,2-ball_tree-uniform,0.6323529411764706,0.0915528577110047,0.8235294117647058
KNeighborsClassifier,2-ball_tree-distance,0.6382352941176471,0.1464114290237046,0.8823529411764706
KNeighborsClassifier,2-kd_tree-uniform,0.6323529411764706,0.0915528577110047,0.8235294117647058
KNeighborsClassifier,2-kd_tree-distance,0.6382352941176471,0.1464114290237046,0.8823529411764706
KNeighborsClassifier,2-brute-uniform,0.6323529411764706,0.0915528577110047,0.8235294117647058
KNeighborsClassifier,2-brute-distance,0.6382352941176471,0.1464114290237046,0.8823529411764706
KNeighborsClassifier,3-auto-uniform,0.6549019607843137,0.09722098642593505,0.8823529411764706
KNeighborsClassifier,3-auto-distance,0.6382352941176471,0.11844365386695856,0.8823529411764706
KNeighborsClassifier,3-ball_tree-uniform,0.6549019607843137,0.09722098642593505,0.8823529411764706
KNeighborsClassifier,3-ball_tree-distance,0.6382352941176471,0.11844365386695856,0.8823529411764706
KNeighborsClassifier,3-kd_tree-uniform,0.6549019607843137,0.09722098642593505,0.8823529411764706
KNeighborsClassifier,3-kd_tree-distance,0.6382352941176471,0.11844365386695856,0.8823529411764706
KNeighborsClassifier,3-brute-uniform,0.6549019607843137,0.09722098642593505,0.8823529411764706
KNeighborsClassifier,3-brute-distance,0.6382352941176471,0.11844365386695856,0.8823529411764706
KNeighborsClassifier,4-auto-uniform,0.627124183006536,0.10972267847227736,0.8823529411764706
KNeighborsClassifier,4-auto-distance,0.6437908496732027,0.12092386471895122,0.8823529411764706
KNeighborsClassifier,4-ball_tree-uniform,0.627124183006536,0.10972267847227736,0.8823529411764706
KNeighborsClassifier,4-ball_tree-distance,0.6437908496732027,0.12092386471895122,0.8823529411764706
KNeighborsClassifier,4-kd_tree-uniform,0.627124183006536,0.10972267847227736,0.8823529411764706
KNeighborsClassifier,4-kd_tree-distance,0.6437908496732027,0.12092386471895122,0.8823529411764706
KNeighborsClassifier,4-brute-uniform,0.627124183006536,0.10972267847227736,0.8823529411764706
KNeighborsClassifier,4-brute-distance,0.6437908496732027,0.12092386471895122,0.8823529411764706
KNeighborsClassifier,5-auto-uniform,0.6437908496732027,0.11300765109812418,0.8823529411764706
KNeighborsClassifier,5-auto-distance,0.6493464052287582,0.12558590100538397,0.8823529411764706
KNeighborsClassifier,5-ball_tree-uniform,0.6437908496732027,0.11300765109812418,0.8823529411764706
KNeighborsClassifier,5-ball_tree-distance,0.6493464052287582,0.12558590100538397,0.8823529411764706
KNeighborsClassifier,5-kd_tree-uniform,0.6437908496732027,0.11300765109812418,0.8823529411764706
KNeighborsClassifier,5-kd_tree-distance,0.6493464052287582,0.12558590100538397,0.8823529411764706
KNeighborsClassifier,5-brute-uniform,0.6437908496732027,0.11300765109812418,0.8823529411764706
KNeighborsClassifier,5-brute-distance,0.6493464052287582,0.12558590100538397,0.8823529411764706
KNeighborsClassifier,6-auto-uniform,0.6375816993464053,0.07732678053612153,0.7647058823529411
KNeighborsClassifier,6-auto-distance,0.6490196078431373,0.125416985725333,0.8235294117647058
KNeighborsClassifier,6-ball_tree-uniform,0.6375816993464053,0.07732678053612153,0.7647058823529411
KNeighborsClassifier,6-ball_tree-distance,0.6490196078431373,0.125416985725333,0.8235294117647058
KNeighborsClassifier,6-kd_tree-uniform,0.6375816993464053,0.07732678053612153,0.7647058823529411
KNeighborsClassifier,6-kd_tree-distance,0.6490196078431373,0.125416985725333,0.8235294117647058
