algorithm,hyperparameters,average,std,max_performance
LinearSVC,default,0.5761437908496732,0.11513336725344028,0.7222222222222222
RandomForestClassifier,gini-100,0.6258169934640523,0.13801725724041952,0.8888888888888888
RandomForestClassifier,gini-150,0.6202614379084967,0.17668710996698306,0.9444444444444444
RandomForestClassifier,gini-200,0.6313725490196079,0.14496549324921193,0.9444444444444444
RandomForestClassifier,gini-250,0.6147058823529412,0.16327740596626653,0.9444444444444444
RandomForestClassifier,gini-500,0.6313725490196078,0.13843100223987204,0.9444444444444444
RandomForestClassifier,gini-1000,0.6202614379084967,0.15825768645570404,0.9444444444444444
RandomForestClassifier,entropy-100,0.6320261437908496,0.15637314661034143,0.9444444444444444
RandomForestClassifier,entropy-150,0.6147058823529412,0.16515688072160448,0.9444444444444444
RandomForestClassifier,entropy-200,0.6147058823529412,0.14313165894692956,0.8888888888888888
RandomForestClassifier,entropy-250,0.615032679738562,0.14472217702329931,0.8888888888888888
RandomForestClassifier,entropy-500,0.6202614379084967,0.1562952698314784,0.9444444444444444
RandomForestClassifier,entropy-1000,0.6258169934640523,0.1568576388057773,0.9444444444444444
SVC,default,0.5862745098039215,0.06374140910604512,0.6666666666666666
SGDClassifier,default,0.5241830065359477,0.10260813435892105,0.6666666666666666
KNeighborsClassifier,2-auto-uniform,0.6084967320261437,0.09803703701282929,0.7777777777777778
KNeighborsClassifier,2-auto-distance,0.5699346405228758,0.16070458727950854,0.8333333333333334
KNeighborsClassifier,2-ball_tree-uniform,0.6084967320261437,0.09803703701282929,0.7777777777777778
KNeighborsClassifier,2-ball_tree-distance,0.5699346405228758,0.16070458727950854,0.8333333333333334
KNeighborsClassifier,2-kd_tree-uniform,0.6084967320261437,0.09803703701282929,0.7777777777777778
KNeighborsClassifier,2-kd_tree-distance,0.5699346405228758,0.16070458727950854,0.8333333333333334
KNeighborsClassifier,2-brute-uniform,0.6084967320261437,0.09803703701282929,0.7777777777777778
KNeighborsClassifier,2-brute-distance,0.5699346405228758,0.16070458727950854,0.8333333333333334
KNeighborsClassifier,3-auto-uniform,0.592483660130719,0.0730602315103061,0.6666666666666666
KNeighborsClassifier,3-auto-distance,0.603921568627451,0.12138928369327256,0.7777777777777778
KNeighborsClassifier,3-ball_tree-uniform,0.592483660130719,0.0730602315103061,0.6666666666666666
KNeighborsClassifier,3-ball_tree-distance,0.603921568627451,0.12138928369327256,0.7777777777777778
KNeighborsClassifier,3-kd_tree-uniform,0.592483660130719,0.0730602315103061,0.6666666666666666
KNeighborsClassifier,3-kd_tree-distance,0.603921568627451,0.12138928369327256,0.7777777777777778
KNeighborsClassifier,3-brute-uniform,0.592483660130719,0.0730602315103061,0.6666666666666666
KNeighborsClassifier,3-brute-distance,0.603921568627451,0.12138928369327256,0.7777777777777778
KNeighborsClassifier,4-auto-uniform,0.5761437908496732,0.09119989391538394,0.7222222222222222
KNeighborsClassifier,4-auto-distance,0.615359477124183,0.13331611128042284,0.7777777777777778
KNeighborsClassifier,4-ball_tree-uniform,0.5761437908496732,0.09119989391538394,0.7222222222222222
KNeighborsClassifier,4-ball_tree-distance,0.615359477124183,0.13331611128042284,0.7777777777777778
KNeighborsClassifier,4-kd_tree-uniform,0.5761437908496732,0.09119989391538394,0.7222222222222222
KNeighborsClassifier,4-kd_tree-distance,0.615359477124183,0.13331611128042284,0.7777777777777778
KNeighborsClassifier,4-brute-uniform,0.5761437908496732,0.09119989391538394,0.7222222222222222
KNeighborsClassifier,4-brute-distance,0.615359477124183,0.13331611128042284,0.7777777777777778
KNeighborsClassifier,5-auto-uniform,0.5647058823529412,0.07123583353068573,0.6666666666666666
KNeighborsClassifier,5-auto-distance,0.5928104575163398,0.11225097746943008,0.7222222222222222
KNeighborsClassifier,5-ball_tree-uniform,0.5647058823529412,0.07123583353068573,0.6666666666666666
KNeighborsClassifier,5-ball_tree-distance,0.5928104575163398,0.11225097746943008,0.7222222222222222
KNeighborsClassifier,5-kd_tree-uniform,0.5647058823529412,0.07123583353068573,0.6666666666666666
KNeighborsClassifier,5-kd_tree-distance,0.5928104575163398,0.11225097746943008,0.7222222222222222
KNeighborsClassifier,5-brute-uniform,0.5647058823529412,0.07123583353068573,0.6666666666666666
KNeighborsClassifier,5-brute-distance,0.5928104575163398,0.11225097746943008,0.7222222222222222
KNeighborsClassifier,6-auto-uniform,0.5650326797385621,0.06580647799116833,0.7058823529411765
KNeighborsClassifier,6-auto-distance,0.5986928104575163,0.11672478001941015,0.7777777777777778
KNeighborsClassifier,6-ball_tree-uniform,0.5650326797385621,0.06580647799116833,0.7058823529411765
KNeighborsClassifier,6-ball_tree-distance,0.5986928104575163,0.11672478001941015,0.7777777777777778
KNeighborsClassifier,6-kd_tree-uniform,0.5650326797385621,0.06580647799116833,0.7058823529411765
KNeighborsClassifier,6-kd_tree-distance,0.5986928104575163,0.11672478001941015,0.7777777777777778
KNeighborsClassifier,6-brute-uniform,0.5650326797385621,0.06580647799116833,0.7058823529411765
KNeighborsClassifier,6-brute-distance,0.5986928104575163,0.11672478001941015,0.7777777777777778
KNeighborsClassifier,7-auto-uniform,0.5591503267973856,0.060017832370773135,0.6666666666666666
KNeighborsClassifier,7-auto-distance,0.5931372549019607,0.10627951414790648,0.7647058823529411
KNeighborsClassifier,7-ball_tree-uniform,0.5591503267973856,0.060017832370773135,0.6666666666666666
KNeighborsClassifier,7-ball_tree-distance,0.5931372549019607,0.10627951414790648,0.7647058823529411
KNeighborsClassifier,7-kd_tree-uniform,0.5591503267973856,0.060017832370773135,0.6666666666666666
KNeighborsClassifier,7-kd_tree-distance,0.5931372549019607,0.10627951414790648,0.7647058823529411
KNeighborsClassifier,7-brute-uniform,0.5591503267973856,0.060017832370773135,0.6666666666666666
KNeighborsClassifier,7-brute-distance,0.5931372549019607,0.10627951414790648,0.7647058823529411
KNeighborsClassifier,8-auto-uniform,0.5647058823529412,0.06676271435610064,0.6666666666666666
KNeighborsClassifier,8-auto-distance,0.5928104575163398,0.09432167428082897,0.7222222222222222
KNeighborsClassifier,8-ball_tree-uniform,0.5647058823529412,0.06676271435610064,0.6666666666666666
KNeighborsClassifier,8-ball_tree-distance,0.5928104575163398,0.09432167428082897,0.7222222222222222
KNeighborsClassifier,8-kd_tree-uniform,0.5647058823529412,0.06676271435610064,0.6666666666666666
KNeighborsClassifier,8-kd_tree-distance,0.5928104575163398,0.09432167428082897,0.7222222222222222
KNeighborsClassifier,8-brute-uniform,0.5647058823529412,0.06676271435610064,0.6666666666666666
KNeighborsClassifier,8-brute-distance,0.5928104575163398,0.09432167428082897,0.7222222222222222
KNeighborsClassifier,9-auto-uniform,0.5869281045751634,0.054216858319975116,0.6666666666666666
KNeighborsClassifier,9-auto-distance,0.5816993464052288,0.10108556825715663,0.7222222222222222
KNeighborsClassifier,9-ball_tree-uniform,0.5869281045751634,0.054216858319975116,0.6666666666666666
KNeighborsClassifier,9-ball_tree-distance,0.5816993464052288,0.10108556825715663,0.7222222222222222
KNeighborsClassifier,9-kd_tree-uniform,0.5869281045751634,0.054216858319975116,0.6666666666666666
KNeighborsClassifier,9-kd_tree-distance,0.5816993464052288,0.10108556825715663,0.7222222222222222
KNeighborsClassifier,9-brute-uniform,0.5869281045751634,0.054216858319975116,0.6666666666666666
KNeighborsClassifier,9-brute-distance,0.5816993464052288,0.10108556825715663,0.7222222222222222
KNeighborsClassifier,10-auto-uniform,0.5702614379084967,0.05274007637813471,0.6470588235294118
KNeighborsClassifier,10-auto-distance,0.5816993464052288,0.10108556825715663,0.7222222222222222
KNeighborsClassifier,10-ball_tree-uniform,0.5702614379084967,0.05274007637813471,0.6470588235294118
KNeighborsClassifier,10-ball_tree-distance,0.5816993464052288,0.10108556825715663,0.7222222222222222
KNeighborsClassifier,10-kd_tree-uniform,0.5702614379084967,0.05274007637813471,0.6470588235294118
KNeighborsClassifier,10-kd_tree-distance,0.5816993464052288,0.10108556825715663,0.7222222222222222
KNeighborsClassifier,10-brute-uniform,0.5702614379084967,0.05274007637813471,0.6470588235294118
