algorithm,hyperparameters,average,std,max_performance
LinearSVR,default,-0.19846876975119362,0.14051334418183298,0.007215118932490493
RandomForestRegressor,mse-100,-0.03649870550157227,0.7767374861780942,0.6528626904952054
RandomForestRegressor,mse-150,-0.001011641153855214,0.6892859894400022,0.639173405960646
RandomForestRegressor,mse-200,-0.039217615802154285,0.8165131455627899,0.6007153721248615
RandomForestRegressor,mse-250,-0.01483844909282216,0.8081227622896259,0.6230475829816745
RandomForestRegressor,mse-500,-0.041875984329235075,0.86003647919039,0.6177807018426149
RandomForestRegressor,mse-1000,-0.016892730062899243,0.8124101113030606,0.6234109356580337
RandomForestRegressor,mae-100,-0.20137886505274089,1.3181156070441233,0.6611369919016366
RandomForestRegressor,mae-150,-0.17683388795287203,1.1720803383149874,0.6247476470704256
RandomForestRegressor,mae-200,-0.1619215829317057,1.21030355548026,0.6804038827764862
RandomForestRegressor,mae-250,-0.1058100902027993,1.0788827959335203,0.6436433952473883
RandomForestRegressor,mae-500,-0.14567017013528158,1.1358152462721767,0.6595707317450645
RandomForestRegressor,mae-1000,-0.16330649459470156,1.2180963999762275,0.6631685176541184
SVR,default,-0.21588586912217425,0.13201109824560975,-0.0547568947070638
SGDRegressor,default,-0.09477846119116654,0.7056358478295343,0.5162824965666405
KNeighborsRegressor,2-auto-uniform,-0.5383288958257554,2.054730556549056,0.702896456689661
GaussianProcessRegressor,default,-0.13400745111123702,0.2933385615204365,-0.0002963414154031341
DecisionTreeRegressor,mse-best,-1.9234920838546075,4.8362856960026575,0.30016957958431634
DecisionTreeRegressor,mse-random,-1.0644866766652696,1.0507917903062747,0.25538417300730964
DecisionTreeRegressor,friedman_mse-best,-1.9233429048913657,4.8370068708505585,0.30024008952603265
DecisionTreeRegressor,friedman_mse-random,-1.0189376408406978,1.051641304911077,0.35022223183798207
DecisionTreeRegressor,mae-best,-1.484850659261815,3.294123402532142,0.601853543564297
DecisionTreeRegressor,mae-random,-0.38218551052068606,0.6710385353987816,0.5250779160088211
BaggingRegressor,10-True,-0.10074208149425731,0.7552994752721767,0.5861471922220651
BaggingRegressor,50-True,-0.0501873984418819,0.7768207739972292,0.6466294840106147
BaggingRegressor,100-True,-0.023413234736224586,0.7595456334174508,0.6351227632748928
BaggingRegressor,150-True,-0.01004067149544401,0.7647589064985912,0.629869649862802
BaggingRegressor,200-True,-0.008837126418861608,0.7541134467460981,0.6290170504391135
BaggingRegressor,250-True,-0.009083536766515554,0.7588090158671377,0.6337181673666132
BaggingRegressor,500-True,-0.008424222147376625,0.7493393010143842,0.6295511262265533
BaggingRegressor,1000-True,0.005601955101580669,0.7335497570435644,0.62310789157381
BaggingRegressor,10-False,-1.5838573338833792,4.366297795889851,0.666803122235533
BaggingRegressor,50-False,-1.6494842904539222,4.437404155068184,0.6224150331685394
BaggingRegressor,100-False,-1.6885479252724072,4.492470601185902,0.5527679581136273
BaggingRegressor,150-False,-1.6853118083123335,4.4824797423398115,0.5721348060478091
BaggingRegressor,200-False,-1.6885735906409163,4.478835403620705,0.5707852445719674
BaggingRegressor,250-False,-1.6869765400146606,4.489218443589209,0.5831653503300551
BaggingRegressor,500-False,-1.6714227329889362,4.468546629136446,0.5715420642892458
BaggingRegressor,1000-False,-1.6714721231288063,4.470620181399309,0.569593234850027
AdaBoostRegressor,10-linear,-0.15340039696603583,0.5729292992839669,0.7049631771227747
AdaBoostRegressor,10-square,-0.19405384603517759,0.7835675052550695,0.7565825550854153
AdaBoostRegressor,10-exponential,-0.18709327436002918,1.0836222739570183,0.659838788318003
AdaBoostRegressor,50-linear,-0.1022259006739122,0.7334831001131743,0.635915406999868
AdaBoostRegressor,50-square,0.05969560444533907,0.42431473240821144,0.7278943394873061
AdaBoostRegressor,50-exponential,-0.033593323387946,0.6499029643218653,0.640107408982879
AdaBoostRegressor,100-linear,-0.13029922077044057,0.7681853992692054,0.6541219607295001
AdaBoostRegressor,100-square,0.05686729835086425,0.49279327151927416,0.7284881097470259
AdaBoostRegressor,100-exponential,-0.06816984940263127,0.6454079610800464,0.6009494586338593
AdaBoostRegressor,150-linear,-0.09756573884059194,0.7442728430684281,0.6257891189727505
AdaBoostRegressor,150-square,0.09189601380417814,0.447322379783306,0.7208288043175621
AdaBoostRegressor,150-exponential,-0.11980114587160313,0.7482680999694594,0.5977830593326887
AdaBoostRegressor,200-linear,-0.12733250884465996,0.788665842047027,0.6175160916104185
AdaBoostRegressor,200-square,0.10566269745607497,0.4338996864252181,0.7117982957319108
AdaBoostRegressor,200-exponential,-0.13452745336663124,0.7737356868373726,0.6036006385465116
AdaBoostRegressor,250-linear,-0.12499159436112732,0.7632702560772946,0.6138088941707408
AdaBoostRegressor,250-square,0.08483374923015062,0.4622235742444026,0.7016355101635862
AdaBoostRegressor,250-exponential,-0.1572288595225349,0.828416798292593,0.5988284479100963
AdaBoostRegressor,500-linear,-0.13961740853469154,0.7829987891348242,0.6211984233475902
AdaBoostRegressor,500-square,0.10332222114800235,0.42070237384863307,0.7042775549755177
AdaBoostRegressor,500-exponential,-0.18826236193152193,0.8528530372740049,0.5951526581616244
AdaBoostRegressor,1000-linear,-0.13283927069238116,0.7845642507392887,0.6126545346232649
AdaBoostRegressor,1000-square,0.08672985317182623,0.4331851712949881,0.7116876632883959
AdaBoostRegressor,1000-exponential,-0.21622994485797734,0.899060717601409,0.5871146915627088
GradientBoostingRegressor,ls-10-friedman_mse,0.17148680875460703,0.27221323291241195,0.5305805880595995
